nazev;adresa;kraj;lat;lon;url
Pivotéka Bez příběhu;Svatojánská 577, Telč;Kraj Vysočina;49.1799281; 15.4478711;https://pivoteka.bezpribehu.cz
Pivotéka Hořský svět;Vaňkovo náměstí 275/6, Třebíč;Kraj Vysočina;49.2100883;15.8842614;https://www.facebook.com/PivotekaHorkySvet/
pivotekaB.cz;Špindlerova 2472, Roudnice nad Labem;Ústecký kraj;50.4213064;14.2532056;https://pivotekab.cz
OD MAX;Červené vršky 2086, Benešov;Středočeský kraj;49.7872897;14.6845731;https://odmax.cz
BEERSHOP.CZ;Sokolovská 188, Praha 8 - Palmovka;Praha 8;50.1025231;14.4767917;https://www.beershop.cz
Pivotéka OC DBK;OC DBK, Budějovická 1667/64, Praha 4;Praha 4;50.0438919;14.4493075;https://www.dbkpraha.cz/restaurace/detail/49/pivoteka
Pivkupectví;Čestmírova 5, Praha 4;Praha 4;50.0642669;14.4420317;https://www.pivkupectvi.cz
Pivotéka ŽižkOff;Miličova 6, Praha 3 - Žižkov;Praha 3;50.0847583;14.4510819;https://www.facebook.com/PivotekaZizkOFF
Pivotéka Pivní rozmanitost;Koněvova 1819/133, Praha 3;Praha 3;50.0915331;14.4736958;http://www.piro-pivnirozmanitost.cz/?fbclid=IwAR00MJ0iWtcX4YBZBQc9jbjrQ8ZkeJHf40urJXzyoARLPdZvwNd8GUm8me4
Pivní zastávka;Kodaňská 32, Praha 10 - Vršovice;Praha 10;50.0704953;14.4600261;https://pivnizastavka.cz
The BEER STOP pod Petřínem;Vítězná 14, Praha 1;Praha 1;50.0812956;14.4055069;https://www.facebook.com/TheBeerStopPodPetrinem/
Prodejna piva u Černýcha;Kaškova 659, Praha - Zbraslav;Praha - Zbraslav;49.9726108;14.3933386;https://www.facebook.com/prodejnapivaucernych/
Pivotéka Plzeň - Brewhemian Beer Shop;Bezručova 29, Plzeň;Plzeňský kraj;49.7456639;13.3745844;https://www.brewhemian.eu/cs
Pivní prodejna Pod Zelenou Horou;Vrčeň 104, 335 41 Vršeň;Plzeňský kraj;49.5060003;13.6161106;https://prodejna.pivni.info
Restaurace Pivotečka;Rooseveltova 76/4, Plzeň;Plzeňský kraj;49.7483100;13.3790203;https://www.pivotecka.cz
Pivotéka.cz;Dolní Novosadská 46/48, Olomouc;Olomoucký kraj;49.5659917;17.2618314;https://www.pivoteka.cz
Alkotéka Ostrava;Porubská 707/16c, Ostrava - Poruba;Moravskoslezský kraj;49.8292053;18.1734717;http://alkoteka-ostrava.cz
Pivní Hub Ostrava;Nádražní 716/46, Ostrava;Moravskoslezský kraj;49.8390906;18.2850136;https://www.pivnihub.cz
Alkotéka Havířov;Národní třída 591/14, Havířov;Moravskoslezský kraj;49.7775281;18.4342369;https://www.facebook.com/Alkotéka-Hav%C3%ADřov-1888759508018624/
Pivní bar U Segala;Gen. Hrušky 1233/26, Ostrava - Fifejdy;Moravskoslezský kraj;49.8363381;18.2595783;https://www.usegala.cz
Pod ořechem;Petrov č.p. 349, Petrov;Jihomoravský kraj;48.8795328;17.2741092;https://www.pod-orechem.cz
Obchod Svět-piva.cz;Stránského 28, Brno - Žabovřesky;Jihomoravský kraj;49.2127694;16.5681103;https://obchod.svet-piva.cz
Pivotéka U Martina;Hybešova 256/18, Brno;Jihomoravský kraj;49.1892789;16.6046025;https://www.facebook.com/PivotekaUMartina/
